1.192.163.153,18570240,Enough_Space
1.183.62.157,18409984,Enough_Space
1.164.234.157,18385920,Enough_Space
1.163.226.155,18415104,Enough_Space
1.183.18.161,18460160,Enough_Space
1.162.202.171,18566656,Enough_Space
1.165.58.158,18569216,Enough_Space
1.165.122.171,18569728,Enough_Space
1.161.74.166,18573312,Enough_Space
1.164.86.166,18401792,Enough_Space
1.164.42.152,18455040,Enough_Space
1.183.34.172,3801600,Not_Enough_Space
1.183.22.165,18479104,Enough_Space
1.163.154.151,19547648,Enough_Space
1.165.118.162,18449408,Enough_Space
1.161.90.158,18568192,Enough_Space
1.183.42.151,18458112,Enough_Space
1.183.14.156,18422272,Enough_Space
1.162.14.177,18551296,Enough_Space
1.183.46.156,18445824,Enough_Space
1.165.238.166,18322944,Enough_Space
1.163.122.157,18335232,Enough_Space
1.183.50.164,18403328,Enough_Space
1.162.194.153,18567680,Enough_Space
1.55.218.159,18440704,Enough_Space
1.162.234.157,18567168,Enough_Space
1.165.98.174,18400768,Enough_Space
1.162.170.161,2065920,Not_Enough_Space
1.87.50.175,18454016,Enough_Space
1.161.70.151,18572800,Enough_Space
1.183.50.163,18390528,Enough_Space
1.192.163.152,18414080,Enough_Space
1.162.14.176,18461184,Enough_Space
1.183.18.160,18526208,Enough_Space
1.161.74.165,18329600,Enough_Space
1.183.46.155,18461184,Enough_Space
1.165.58.157,18568704,Enough_Space
1.183.34.171,18527744,Enough_Space
1.165.118.161,18435584,Enough_Space
1.164.234.156,18521600,Enough_Space
1.163.226.154,18527232,Enough_Space
1.165.238.165,18313216,Enough_Space
1.183.22.164,18404864,Enough_Space
1.165.122.170,18437120,Enough_Space
1.162.234.156,18567168,Enough_Space
1.161.90.157,18458624,Enough_Space
1.164.86.165,18522112,Enough_Space
1.183.62.156,18526720,Enough_Space
1.183.38.179,18518016,Enough_Space
1.162.194.152,18567680,Enough_Space
1.164.42.151,18567168,Enough_Space
1.162.202.170,18567168,Enough_Space
1.165.98.173,18401792,Enough_Space
1.163.122.156,18335744,Enough_Space
1.183.14.155,18457088,Enough_Space
1.163.146.171,18414080,Enough_Space
1.161.66.171,18566656,Enough_Space
1.55.218.158,18458624,Enough_Space
1.87.50.174,18458112,Enough_Space
1.162.170.160,18564096,Enough_Space
1.162.14.175,18446336,Enough_Space
1.162.194.151,18456064,Enough_Space
1.192.163.151,18408448,Enough_Space
1.165.118.160,18435584,Enough_Space
1.165.122.169,18451456,Enough_Space
1.164.234.155,18393600,Enough_Space
1.161.90.156,18437120,Enough_Space
1.165.238.164,18395648,Enough_Space
1.183.18.159,18572288,Enough_Space
1.164.86.164,18410496,Enough_Space
1.183.34.170,18400768,Enough_Space
